Customer ID,Age,Annual Income,Spending Score
CUST1000,56.0,44855.0,49.0
CUST1001,69.0,22400.0,14.0
CUST1002,46.0,132858.0,15.0
CUST1003,32.0,30151.0,31.0
CUST1004,60.0,81690.0,
CUST1005,25.0,19499.0,54.0
CUST1006,38.0,21295.0,3.0
CUST1007,56.0,135885.0,16.0
CUST1008,36.0,141071.0,87.0
CUST1009,40.0,74040.0,57.0
CUST1010,28.0,27183.0,75.0
CUST1011,28.0,131336.0,12.0
CUST1012,41.0,47711.0,74.0
CUST1013,53.0,20539.0,96.0
CUST1014,57.0,141063.0,16.0
CUST1015,41.0,148629.0,72.0
CUST1016,20.0,53360.0,76.0
CUST1017,39.0,148272.0,24.0
CUST1018,19.0,36357.0,28.0
CUST1019,41.0,134121.0,8.0
CUST1020,61.0,92505.0,92.0
CUST1021,47.0,17869.0,36.0
CUST1022,55.0,65108.0,90.0
CUST1023,19.0,127296.0,8.0
CUST1024,38.0,109179.0,58.0
CUST1025,50.0,105272.0,60.0
CUST1026,29.0,53467.0,50.0
CUST1027,39.0,38328.0,28.0
CUST1028,61.0,106412.0,92.0
CUST1029,42.0,73871.0,41.0
CUST1030,66.0,143391.0,64.0
CUST1031,44.0,101416.0,27.0
CUST1032,59.0,85271.0,63.0
CUST1033,45.0,59064.0,17.0
CUST1034,33.0,122450.0,73.0
CUST1035,32.0,34830.0,33.0
CUST1036,64.0,131381.0,84.0
CUST1037,68.0,62333.0,77.0
CUST1038,61.0,149508.0,92.0
CUST1039,69.0,91213.0,29.0
CUST1040,20.0,45746.0,13.0
CUST1041,54.0,64377.0,46.0
CUST1042,68.0,69045.0,35.0
CUST1043,,112888.0,6.0
CUST1044,38.0,122455.0,82.0
CUST1045,26.0,108179.0,69.0
CUST1046,56.0,60714.0,47.0
CUST1047,35.0,117946.0,25.0
CUST1048,21.0,124616.0,66.0
CUST1049,42.0,120983.0,10.0
CUST1050,31.0,139123.0,56.0
CUST1051,67.0,58484.0,30.0
CUST1052,26.0,97989.0,5.0
CUST1053,43.0,51212.0,33.0
CUST1054,19.0,58525.0,65.0
CUST1055,37.0,78208.0,18.0
CUST1056,45.0,48828.0,96.0
CUST1057,64.0,18420.0,49.0
CUST1058,24.0,111752.0,11.0
CUST1059,61.0,146373.0,85.0
CUST1060,25.0,130294.0,26.0
CUST1061,64.0,139019.0,63.0
CUST1062,52.0,80726.0,89.0
CUST1063,31.0,130668.0,86.0
CUST1064,34.0,21102.0,
CUST1065,53.0,133015.0,27.0
CUST1066,67.0,41641.0,49.0
CUST1067,57.0,118746.0,77.0
CUST1068,21.0,51631.0,33.0
CUST1069,19.0,87991.0,98.0
CUST1070,23.0,19014.0,99.0
CUST1071,59.0,26093.0,1.0
CUST1072,21.0,33070.0,21.0
CUST1073,46.0,50777.0,55.0
CUST1074,35.0,71958.0,6.0
CUST1075,43.0,97074.0,92.0
CUST1076,61.0,25729.0,81.0
CUST1077,51.0,120864.0,69.0
CUST1078,27.0,145858.0,95.0
CUST1079,53.0,120510.0,5.0
CUST1080,31.0,69748.0,3.0
CUST1081,48.0,20801.0,53.0
CUST1082,65.0,44592.0,23.0
CUST1083,32.0,25647.0,53.0
CUST1084,25.0,125627.0,37.0
CUST1085,31.0,85316.0,74.0
CUST1086,40.0,17368.0,74.0
CUST1087,57.0,92575.0,83.0
CUST1088,38.0,21655.0,17.0
CUST1089,33.0,85031.0,85.0
CUST1090,62.0,102922.0,78.0
CUST1091,35.0,139046.0,73.0
CUST1092,64.0,47097.0,1.0
CUST1093,41.0,139862.0,51.0
